ALABAMA  AL  MONTGOMERY
ALASKA  AK  JUNEAU
ARIZONA  AZ  PHOENIX
ARKANSAS  AR  LITTLE ROCK
CALIFORNIA  CA  SACRAMENTO
COLORADO  CO  DENVER
CONNECTICUT  CT  HARTFORD
DELAWARE  DE  DOVER
FLORIDA  FL  TALLAHASSEE
GEORGIA  GA  ATLANTA
HAWAII  HI  HONOLULU
IDAHO  ID  BOISE
ILLINOIS  IL  SPRINGFIELD
INDIANA  IN  INDIANAPOLIS
IOWA  IA  DES MOINES
KANSAS  KS  TOPEKA
KENTUCKY  KY  FRANKFORT
LOUISIANA  LA  BATON ROUGE
MAINE  ME  AUGUSTA
MARYLAND  MD  ANNAPOLIS
MASSACHUSETTS  MA  BOSTON
MICHIGAN  MI  LANSING
MINNESOTA  MN  SAINT PAUL
MISSISSIPPI  MS  JACKSON
MISSOURI  MO  JEFFERSON CITY
MONTANA  MT  HELENA
NEBRASKA  NE  LINCOLN
NEVADA  NV  CARSON CITY
NEW HAMPSHIRE  NH  CONCORD
NEW JERSEY  NJ  TRENTON
NEW MEXICO  NM  SANTA FE
NEW YORK  NY  ALBANY
NORTH CAROLINA  NC  RALEIGH
NORTH DAKOTA  ND  BISMARCK
OHIO  OH  COLUMBUS
OKLAHOMA  OK  OKLAHOMA CITY
OREGON  OR  SALEM
PENNSYLVANIA  PA  HARRISBURG
RHODE ISLAND  RI  PROVIDENCE
SOUTH CAROLINA  SC  COLUMBIA
SOUTH DAKOTA  SD  PIERRE
TENNESSEE  TN  NASHVILLE
TEXAS  TX  AUSTIN
UTAH  UT  SALT LAKE CITY
VERMONT  VT  MONTPELIER
VIRGINIA  VA  RICHMOND
WASHINGTON  WA  OLYMPIA
WEST VIRGINIA  WV  CHARLESTON
WISCONSIN  WI  MADISON
WYOMING  WY  CHEYENNE
